Premise,Proof,Hypothesis,Correctness,Minimality,Useful Facts,"Hypothesis
Follows"
a young family enjoys feeling ocean waves lap at their feet,"Fact: ocean waves approach beaches.
Composition / Monotone: a family is at a beach

",a family is at the beach,0.0,1.0,0.0,0.0
3 young man in hoods standing in the middle of a quiet street facing the camera,"Fact: black people with a lot of words
Composition / Monotone: 3 people in hoods face the camera

Fact: a camera is for taking a picture
Composition / Monotone: three people in hoods pose for a picture

Fact: a camera takes pictures
Composition / Monotone: three people in hoods pose for a picture

",three hood wearing people pose for a picture,2.0,0.0,1.0,2.0
a man standing in front of a building on the phone as two men to the side pain on the side,"Fact: if we are men we a are guys
Composition / Monotone: two other guys are next to the guy standing in front of the building

",a guy near a building stands by two other men,1.0,1.0,1.0,2.0
a man in a black shirt overlooking bike maintenance,"Fact: maintenance is a repair
Composition / Monotone: a man is watching bike repairs

Fact: repair is a form of maintenance
Composition / Monotone: a man watches bike repair

",a man watches bike repairs,2.0,1.0,1.0,2.0
a dog jumping for a frisbee in the snow,"Fact: a frisbee is a toy.
Composition / Monotone: a dog is playing with a toy in the snow

Fact: a frisbee is made of plastic.
Composition / Monotone: an animal plays with a plastic ball in the snow

Fact: snow comes down in cold weather 
Composition / Monotone: a animal plays with a plastic ball in the cold weather

Fact: a dog is a kind of animal
Composition / Monotone: an animal playing with plastic ball in the cold weather

",an animal is outside in the cold weather playing with a plastic toy,1.0,3.0,4.0,2.0
three boys in white shirts are walking behind an older model ford car,"Fact: cars are located in street corners.
Composition / Monotone: there are several boys on the street

",the boys are on the street,1.0,1.0,1.0,2.0
a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,"Fact: a hand is part of the arm
Composition / Monotone: a person is swimming

",a person is swimming,1.0,1.0,0.0,1.0
five girls and two guys are crossing a overpass,"Fact: guys meet girls.
Composition / Monotone: there are people outdoors

Fact: girls see guys.
Composition / Monotone: there are people outside

",there are people outside,2.0,1.0,1.0,2.0
a man of the cloth puts a black substance on a mans forehead,"Fact: a forehead is part of a head.
Composition / Monotone: a man puts something on another mans head

Fact: a forehead is part of a head
Composition / Monotone: a man puts something on the other mans head

",the man puts something on the other mans head,2.0,1.0,1.0,2.0
a group of adults stands in the bathroom looking down a small child in the bath,"Fact: people can join  a group
Composition / Monotone: people are inside the house

",people are in the house,1.0,1.0,0.0,1.0
a man woman and child get their picture taken in front of the mountains,"Fact: a family can plan a vacation
Composition / Monotone: a family gets their picture taken on vacation

Fact: the family can plan to go on vacation
Composition / Monotone: a family has a picture taken on vacation

",a family on vacation is posing,2.0,1.0,1.0,2.0
a dog standing near snow looking at water,"Fact: dog is a type of animal.
Composition / Monotone: the animal is outdoors

Fact: a dog is a kind of animal
Composition / Monotone: the animal is outdoors

",animal is outdoors,2.0,1.0,1.0,2.0
the american footballer in yellow catches the ball whilst under pressure from the payer in white,"Fact: a duress is a force
Composition / Monotone: the football player is under duress

",the football player is under duress,0.0,1.0,0.0,1.0
a biker races,"Fact: a riding is a sport
Composition / Monotone: a person is riding a bike

",a person is riding a bike,1.0,1.0,0.0,2.0
island native fishermen reeling in their nets after a long days work,"Fact: today is the day it is right now
Composition / Monotone: the native fishermen are finishing their days work

",the men are finishing their day of work,1.0,1.0,0.0,0.0
young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit,"Fact: a lady is a woman
Composition / Monotone: a woman is drying clothes

Fact: lady is a woman.
Composition / Monotone: a person drying clothes

",a person drying clothes,2.0,1.0,0.0,1.0
everyone on the street in the city seem to be busy doing their own thing,"Fact: stores are business.
Composition / Monotone: people are doing business in the city

",people are conducting business in the city,0.0,1.0,0.0,0.0
a man in an apron smiles as he pokes a frying donut with a little metal stick,"Fact: donut is a cake.
Composition / Monotone: the man is cooking

Fact: a donut is made of deep-fried dough and sugar.
Composition / Monotone: the man is cooking

Fact: donuts are in the shpae of a ring.
Composition / Monotone: the man cooks food

",the man is cooking food,3.0,1.0,0.0,0.0
a guy and a girl look down a mountain range,"Fact: take the time to look around
Composition / Monotone: people are looking at the mountains

",the people look at the mountains,1.0,1.0,0.0,1.0
a standing man talks to a seated woman while on some sort of vehicle,"Fact: a car can seat people.
Composition / Monotone: two people are talking

",two people are talking,1.0,1.0,0.0,1.0
a woman in a black outfit lies face first on a yoga mat several paintings are hanged on the wall and the sun shines through a large window near her,"Fact: a window can be found in a house.
Composition / Monotone: a person is indoors

Fact: a wall is part of a room.
Composition / Monotone: a person is in a room

",there is a person in a room,2.0,2.0,2.0,2.0
a woman in a brown shirt is kneeling in the street,"Fact: ground is sites.
Composition / Monotone: a woman is on the ground

Fact: a hole in the ground
Composition / Monotone: a woman is on the ground outside

",a woman is on the ground outside,2.0,1.0,0.0,1.0
the woman in the black shirt hands papers to the children surrounding her,"Fact: children use alot of paper.
Composition / Monotone: a woman giving paper

",someone giving out paper,1.0,1.0,0.0,1.0
a young boy in green shorts balances on a pipe above a river,"Fact: a boy is a young male human.
Composition / Monotone: a human balancing

Fact: boy is a person.
Composition / Monotone: a human balancing

Fact: a boy is a young person
Composition / Monotone: a person balancing

",a person balancing,3.0,1.0,3.0,2.0
a bearded man jumps in the snow with the ocean in the background and an orange recumbent bike parked near a road sign,"Fact: jumping are activities.
Composition / Monotone: a person jumping

",a human jumping,1.0,1.0,0.0,1.0
couples enjoying a meal while a bunch of dogs take a nap,"Fact: dogs are a type of animal
Composition / Monotone: some animals are asleep

",some animals are asleep,1.0,1.0,1.0,2.0
a white duck expanding its wings in the water,"Fact: a duck is part of animal
Composition / Monotone: there is an animal outside

Fact: a wing is part of a animal
Composition / Monotone: there is an animal in this picture

",there is one animal in this picture,1.0,2.0,1.0,1.0
a woman wearing jeans is walking down the street,"Fact: a lady is a woman
Composition / Monotone: a person is outdoors

Fact: lady is a woman.
Composition / Monotone: a person is outside

",a person is outside,2.0,1.0,0.0,0.0
a woman in a black jacket and a black and white striped skirt is watching a woman talking to a little boy sitting on concrete steps,"Fact: a child is a person
Composition / Monotone: a man watching someone talk to a child

",a person is talking to a child while another person watches,0.0,1.0,0.0,0.0
a group of seven individuals wearing rafting gear white water raft down a river,"Fact: a boat is for going down a river
Composition / Monotone: people are in a boat

Fact: people are individuals.
Composition / Monotone: people are sitting in an inflatable boat

Fact: a river contains water.
Composition / Monotone: people are in an inflatable boat

Fact: water is in a river
Composition / Monotone: there are people in an inflatable boat

",there are people in an inflatable boat,4.0,2.0,2.0,2.0
a man and a child are purchasing ice cream from a man with a hand pushed ice cream cart,"Fact: ice cream is a kind of food
Composition / Monotone: people are buying food from man

Fact: ice cream is food.
Composition / Monotone: people are buying food from someone

Fact: a merchant is used for selling things to people
Composition / Monotone: people are buying food from a vendor

",people are buying food from a street vendor,3.0,2.0,2.0,2.0
three men are carrying a red bag into a boat with another person and boat in the background,"Fact: a person knows other people
Composition / Monotone: people in a boat

",some people put something in a boat in a place with more than one boat,1.0,1.0,1.0,1.0
a probaseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game,"Fact: a stadium is for watching others play sports
Composition / Monotone: the pitcher is in a stadium

Fact: are at a stadium
Composition / Monotone: a baseball pitcher is at the stadium

",a pitcher is playing baseball at a stadium,2.0,1.0,1.0,2.0
a family walking with a soldier,"Fact: a family is a group of people
Composition / Monotone: there are a group of people walking

Fact: a family consists of at least two people.
Composition / Monotone: a group of people walks

",a group of people strolling,2.0,1.0,2.0,2.0
a man wearing a shortsleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a longsleeved blue shirt and black pants also using snow walking sticks,"Fact: man is male and woman is female
Composition / Monotone: a man wearing blue shirt and carrying a backpack treks through the snow

Fact: sometimes people pack bags with supplies before going camping.
Composition / Monotone: the guy in blue shirt and carrying a backpack treks through the snow

Fact: a shirt is a garment worn on the upper torso
Composition / Monotone: a guy in blue shirt is carrying a backpack through the snow

Fact: a shirt is a garment
Composition / Monotone: a guy in blue shirt is carrying a pack through the snow

Fact: one must be careful to pack supplies before a walk-about.
Composition / Monotone: a guy in blue carries a pack through the snow

",a guy with a blue top carries a pack and makes his way through snow,5.0,1.0,4.0,2.0
a female runner dressed in blue athletic wear is running in a competition while spectators line the street,"Fact: spectators can watch sport
Composition / Monotone: there are people on the street

Fact: spectators can watch a race
Composition / Monotone: there are people on the street

",there are people on the street,2.0,1.0,2.0,2.0
a man is painting a picture outside behind a crowd,"Fact: painter can paint a picture
Composition / Monotone: the painter is painting a picture

",a painter is creating a picture,1.0,0.0,0.0,2.0
a blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something,"Fact: closed fists make it easier to get hands through sleeves.
Composition / Monotone: the little boy is using scissors

",a little male has clothes on with a pair of scissors in his hands,1.0,1.0,0.0,1.0
elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black,"Fact: a sidewalk is a walk
Composition / Monotone: an elderly woman balances a basket on her head while talking to another woman

Fact: you are likely to find a sidewalk in people
Composition / Monotone: an elderly woman balances an object on her head while speaking to another woman

Fact: a sidewalk is for walking on
Composition / Monotone: an elderly woman balances an object on her head while talking

Fact: a sidewalk is like a road for people to walk on
Composition / Monotone: an elderly woman balances an object on her head while talking

",elderly woman is balancing something on her head while having a conversation,4.0,2.0,2.0,2.0
a man cooking over high flames,"Fact: a man is a male person.
Composition / Monotone: a person is preparing food

",a person is preparing some food,1.0,1.0,1.0,2.0
four men stand in a circle facing each other playing brass instruments which people watch them,"Fact: people make music.
Composition / Monotone: the men are playing music

",the men are playing music,1.0,1.0,1.0,2.0
a group of footballs players is standing behind a coaching official,"Fact: people is a group.
Composition / Monotone: there are multiple people present

",there are multiple people present,1.0,1.0,1.0,2.0
the back of a woman wearing a white jacket with blue jeans walking towards a flock of birds,"Fact: woman is a kind of human.
Composition / Monotone: a human in front of the birds

Fact: woman is a person.
Composition / Monotone: a person in front of birds

Fact: woman is a someone.
Composition / Monotone: a person near some birds

Fact: a woman is a kind of person.
Composition / Monotone: a person is near some birds

Fact: she is a woman
Composition / Monotone: a person is near some birds

",someone person was near a bunch of birds,5.0,2.0,2.0,2.0
a group of people watch a breakdancer in a red jacket do a onehanded trick,"Fact: a crowd is a large group of people
Composition / Monotone: a person does a trick for a crowd

Fact: a large group of people is a crowd
Composition / Monotone: a person does a trick in front of a crowd

Fact: a person wants to do a little dance sometimes.
Composition / Monotone: a person does a trick in front of crowd

Fact: people is a group.
Composition / Monotone: a person do tricks in front of crowd

Fact: a person wants to breakdance
Composition / Monotone: a person do tricks in front of crowd

Fact: jacket is a type of clothing.
Composition / Monotone: a person is doing tricks in front of a crowd

",a person is doing tricks in front of crowd,6.0,1.0,3.0,2.0
two men in neon yellow shirts busily sawing a log in half,"Fact: shirts are a form of clothing.
Composition / Monotone: two men are using a saw

",two men are using a saw,1.0,1.0,0.0,1.0
a man is working on a earthen structure with a pickaxe,"Fact: tools can be found in a hardware shop.
Composition / Monotone: the man is using tools

",a man has tools,1.0,1.0,0.0,0.0
a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat,"Fact: a man is a male
Composition / Monotone: the males are performing martial arts exercises

Fact: a man is a male human
Composition / Monotone: two males are human performing martial arts exercises

Fact: karate is a japanese martial art
Composition / Monotone: two males are doing martial arts

Fact: karate is one of the martial arts
Composition / Monotone: the two males do martial arts

",two males are involved in martial arts,4.0,2.0,3.0,2.0
a tree worker with a hard hat is cutting down a branch,"Fact: workers play a critical role in occupational safety and health.
Composition / Monotone: a hat is used for safety

Fact: a hat is used for covering the head
Composition / Monotone: a safety hat is being worn for safety

Fact: a hat is used for covering your head
Composition / Monotone: a man is wearing a safety helmet

Fact: a hat is used for covering your head.
Composition / Monotone: the man is wearing a safety helmet and a hat

Fact: a person wants to work in a safe environment
Composition / Monotone: a man is wearing a safety helmet and hat

Fact: a safety hat is a helmet
Composition / Monotone: a man is wearing safety gear to protect his head

Fact: safety on the job is esential
Composition / Monotone: a man is wearing safety gear on his head

Fact: a hat is worn on a head.
Composition / Monotone: a man is wearing safety gear on his head

",the man is wearing safety gear on his head,8.0,5.0,6.0,2.0
a skier skijumping while two other skiers watch his act,"Fact: a trick is a twist
Composition / Monotone: a skier performing a trick

Fact: a sleight of hand is a trick
Composition / Monotone: a skier preparing to perform a trick

",a skier preparing a trick,0.0,1.0,0.0,0.0
a brown and black dog runs on the grass outdoors in front of a sidewalk,"Fact: a leg is for standing on
Composition / Monotone: the dog has legs

Fact: a dog is a canine.
Composition / Monotone: the dog has legs

Fact: legs can be used to walk
Composition / Monotone: a dog uses his legs

Fact: a leg can be used for holding upright
Composition / Monotone: a dog is using his legs

",a canine is using his legs,4.0,1.0,2.0,0.0
an african american man is posing in front of an ese electronics advertisement billboard after purchasing items from the local liquor store,"Fact: a billboard is used for advertisement
Composition / Monotone: a black man is posing in front of an ese billboard after purchasing items from the local

Fact: an electronics store is for consumer spending 
Composition / Monotone: a black man posing in front of an ese sign after purchasing items from an electronics store

Fact: a billboard is for advertisment
Composition / Monotone: a black man posing in front of an ese sign after purchasing something

",black man poses in front of ese sign after making a purchase at a store,3.0,0.0,2.0,2.0
a crowd walks about a square at night with smoke or fog drifting over them,"Fact: people can group together.
Composition / Monotone: people are walking in the square

Fact: a crowd is a large group of people
Composition / Monotone: a group of people walk in the square

Fact: a large group of people is a crowd
Composition / Monotone: a group of people walks in the square

",a group of people walks in the square,3.0,1.0,2.0,2.0
an asian woman enjoys a nice treat,"Fact: lady is a woman.
Composition / Monotone: a lady enjoying a treat

Fact: a lady is a type of woman.
Composition / Monotone: a lady is enjoying her treat

",a lady is taking pleasure from a treat,2.0,1.0,1.0,2.0
a woman is seen from above applying red nail polish to her toes as they rest on a leather seat,"Fact: a toenail is part of the toe.
Composition / Monotone: a woman has red nails on her feet

Fact: toes have (part) toenails.
Composition / Monotone: a woman has red toenails

Fact: fingers have fingernails and toes have toenails.
Composition / Monotone: the woman has red toenails

",the woman has red toenails,3.0,1.0,1.0,2.0
a man in a mask in the back of a service vehicle,"Fact: a vehicle can move from one place to another.
Composition / Monotone: someone wearing an object disguise moves in a service vehicle

Fact: vehicles are capable of travel.
Composition / Monotone: person traveling in a service vehicle is wearing an object disguise

",a man with concealed features is in a mode of transportation used in service,2.0,1.0,1.0,2.0
a skateboarder is performing a grab trick while hovering above a ramp which is located within a city,"Fact: you are likely to find a city in a state or province
Composition / Monotone: a skateboarder is on a ramp doing tricks

Fact: skateboarding need a really huge ramp for kool stunts
Composition / Monotone: skateboarder doing tricks on ramps

Fact: a sleight of hand is a trick
Composition / Monotone: a skateboarder doing tricks on ramps

Fact: grab is touch
Composition / Monotone: a skateboarder is doing tricks on the ramps

Fact: a town is in a city
Composition / Monotone: the skateboarder is doing tricks on the ramps in a place

",a skateboarder is doing tricks in an area with ramps,5.0,1.0,2.0,1.0
two guys walking one carrying a skateboard,"Fact: if we are men we a are guys
Composition / Monotone: two men are walking

",both of the men are walking,1.0,1.0,1.0,2.0
kid holding handles on two wheeled object,"Fact: hands have thumbs.
Composition / Monotone: the kid has hands

",the kid has hands,1.0,1.0,0.0,1.0
man in white sweater looks from his press box onto the pitch,"Fact: you are likely to find a baseball field around in stadium
Composition / Monotone: man watching the field

Fact: a field is used to play a baseball game
Composition / Monotone: a man is watching the field

",a man watches the field,2.0,1.0,0.0,1.0
a man holding some sort of vegetables while his wife in a red sweater stares to the side and his daughter in a red sweater looks at the camera,"Fact: a sweater is a piece of clothing.
Composition / Monotone: a man is holding a vegetable

Fact: a sweater is a garment
Composition / Monotone: a man holding a vegetable

",a man holds a vegetable,2.0,0.0,0.0,1.0
a female bowler dressed in blue with another bowler in the background prepares to throw a ball down the lane,"Fact: you can play many games with a ball.
Composition / Monotone: the woman is playing a game

",a woman is playing a game,1.0,1.0,1.0,2.0
a young man holds a hammer shaped object in the air with one hand and a similar shaped object in the other while making a funny expression,"Fact: a guy is a man
Composition / Monotone: a person is holding a tool

",a person is holding a tool,1.0,1.0,1.0,2.0
a man is watching as a woman is reading a piece of paper,"Fact: woman is a person.
Composition / Monotone: a person watching another person

Fact: woman is a someone.
Composition / Monotone: a person watching someone

",a person watches someone,2.0,2.0,2.0,2.0
a baby girl and little boy are standing next to a guitar and a drum,"Fact: a drum is a percussive instrument
Composition / Monotone: a little girl is holding a percussive instrument

",the girl is near an instrument,0.0,1.0,1.0,1.0
a young woman in a bikini looking at something in a glass case,"Fact: a lady is a type of woman.
Composition / Monotone: a lady with a swimsuit looks at something

Fact: a bikini is a type of swimsuit.
Composition / Monotone: a lady in a swimsuit looks at things

Fact: lady is a woman.
Composition / Monotone: a lady in a swimsuit looks at things

Fact: a lady is a woman
Composition / Monotone: a lady in a swimsuit looks at things

",a lady in a swimsuit checking things out,0.0,1.0,2.0,1.0
mom and little boy having fun  eating by the lake,"Fact: a lake is an open body of water
Composition / Monotone: two people are outside

Fact: a lake is a body of water.
Composition / Monotone: two people are outdoors

",two humans enjoying the outside,2.0,1.0,2.0,2.0
four people standing on a hiking trail in a forest with big tree logs on the ground close to them,"Fact: the people are individuals.
Composition / Monotone: some humans standing

",some humans standing,1.0,1.0,1.0,2.0
a man surfs on a medium sized wave while holding a paddle that seems to steer him in the direction he wants to go,"Fact: surfing requires waves and water
Composition / Monotone: man surfing on water

",a man surfing on the water,1.0,1.0,1.0,2.0
a small asian child rides on the back of a woman who is wearing a hat,"Fact: a hat is a form of clothing
Composition / Monotone: a woman and child are together

Fact: hat is a headdress.
Composition / Monotone: the child is with the woman

",a child and woman are picture,2.0,1.0,0.0,2.0
in a chain link enclosed skate park a skater goes over one of the obstacleswit,"Fact: a person can skate across a field of ice.
Composition / Monotone: a person is skating

",a person is skating,1.0,1.0,1.0,2.0
boys in what appears to be a library or school room,"Fact: girls and boys are children.
Composition / Monotone: children are indoors

",children are indoors,1.0,1.0,1.0,2.0
a barechested man fitting his head and arm into a toilet seat ring while spectators watch in a city,"Fact: chest hair is body hair.
Composition / Monotone: man without chest hair fits head and arm into toilet seat

Fact: some humans have absolutely no hair on their chests
Composition / Monotone: a man with no chest hair fitting in to a toilet seat

Fact: some men have hairy chests.  others have no hair on their chests.
Composition / Monotone: a man with no chest hair fit into a toilet seat

",a gentleman with no chest hair wrangles his way through a toilet seat,0.0,1.0,0.0,0.0
a young boy sits outside in a grassy field with his back turned towards the viewer he is holding a wooden toy that can be spun between your hands and launched into the air,"Fact: a child can own a toy
Composition / Monotone: a child plays outside

Fact: a boy can own a toy
Composition / Monotone: a child plays outdoors

",a child plays outdoors,2.0,1.0,0.0,2.0
bicyclist ride the course near the ocean as the day comes to an end,"Fact: cyclist can enjoying the sunset
Composition / Monotone: the sunset is being enjoyed by a cyclist riding near the ocean

Fact: a cyclist can taking a break at sunset
Composition / Monotone: the cyclist is riding at sunset near the ocean

Fact: a person can riding a bycicle at sunset
Composition / Monotone: the cyclist is riding near the ocean at sunset

",the cyclist was riding near the ocean at sunset,3.0,1.0,2.0,2.0
kids work at computers with a teachers help,"Fact: you are likely to find a main entrance in the front
Composition / Monotone: children are at their computers

",the kids sit in front of computers,1.0,1.0,0.0,2.0
a woman holding bags behind plantains,"Fact: plantains are a very healthy fruit to eat.
Composition / Monotone: a woman is holding fruit

Fact: bags contain stuff.
Composition / Monotone: a lady is holding fruit

Fact: a lady is a woman
Composition / Monotone: a lady is a person holding fruit

Fact: she is a woman
Composition / Monotone: a lady is a person who holds fruit

Fact: a bag can be used for storing items
Composition / Monotone: a lady uses an object to hold fruits

",a lady is holding an object to contain items while she is behind fruit,0.0,2.0,2.0,0.0
a band playing on stage in a club,"Fact: musicians can play instruments
Composition / Monotone: instruments are played in a place by musicians

Fact: musicians often play instruments.
Composition / Monotone: musicians are playing instruments at a venue

Fact: musicians can often play instruments
Composition / Monotone: musicians are playing instruments at a venue

",musicians are playing their instruments at a venue,3.0,1.0,1.0,2.0
a worker is doing a job on scaffolding,"Fact: worker is a somebody.
Composition / Monotone: a human working

",a human working,1.0,1.0,0.0,1.0
a man is steering his ship out at sea,"Fact: ship is a craft.
Composition / Monotone: a man pilots his boat at sea

Fact: a boat is a mean of transport.
Composition / Monotone: a man pilots a boat

",a man pilots his boat,2.0,1.0,1.0,2.0
one woman taking a picture of a second woman as she leans on a table,"Fact: women range in ages.
Composition / Monotone: women taking pictures of one another

Fact: women can sitting round a table
Composition / Monotone: women taking pictures of each others

",women taking pictures of each other,0.0,1.0,0.0,0.0
a man wearing black pants rides along a concrete ledge on rollerblades,"Fact: a man's suit includes pants.
Composition / Monotone: he is on a ledge

",the ledge is made of a hard substance,1.0,1.0,0.0,0.0
male wearing brown shorts and black tshirt in his bedroom with his feet on the desk talking on the phone,"Fact: you are likely to find a telephone in a house.
Composition / Monotone: a man is inside his house

Fact: a t-shirt is a piece of clothing
Composition / Monotone: a man is inside his house

Fact: a desk can be found in a house.
Composition / Monotone: a man is in his house

",a man is in his house,3.0,1.0,2.0,2.0
a male windsurfer surfing on some blue waves with his yellow surfboard and red and white sail it looks as though he is about to fall into the water because he is suspended in the air sideways,"Fact: water can be found in the ocean
Composition / Monotone: a man is windsurfing on the ocean

Fact: water can be found in the ocean.
Composition / Monotone: the man is windsurfing in the ocean

",the man is windsurfing on the ocean,2.0,1.0,1.0,2.0
